"DBN","School.Name","pct_female","pct_male","pct_asian","pct_black","pct_hispanic","pct_multi.racial","pct_native_american","pct_white","pct_disabilities","pct_eng_learners","pct_poverty","economic_need_index","school_name","total_students","students_temp_housing","pct_temp_housing","students_residing_shelter","residing_dhs_shelter","residing_non_dhs_shelter","doubled_up"
"07X548","Careers in Sports High School",24.5,75.5,0,26.7,70.7,0.4,0.2,2,28,14.9,94.1,95,"Careers in Sports High School",449,"85",18.93095821,"38","20","18","43"
"07X551","The Urban Assembly Bronx Academy of Letters",42.4,57.6,0.8,31.9,62.5,0.2,1,3.5,33.1,14.9,95,95,"The Urban Assembly Bronx Academy of Letters",492,"91",18.4959352,"46","36","10","42"
"07X557","Mott Haven Community High School",47.3,52.7,0.8,33.9,62.8,0,0.8,1.7,35.6,10.5,91.6,94.2,"Mott Haven Community High School",324,"51",15.7407403,"29","22","7","19"
"07X584","I.S. 584",50,50,3.8,25.3,69.6,0,0,1.3,32.9,21.5,94.9,95,"I.S. 584",193,"69",35.75129509,"35","29","6","28"
"07X600","Alfred E. Smith Career and Technical Education Hig",14.8,85.2,1.8,24.6,70.7,0.3,1,1.8,24.8,13,90.2,92.5,"Alfred E. Smith Career and Technical Education Hig",397,"65",16.3727954,"26","17","9","37"
"07X625","Bronx Legacy High School",59.4,40.6,0,27.5,70.7,0.4,0.7,0.7,21.7,15.2,95,93.5,"Bronx Legacy High School",284,"66",23.23943675,"21","s","s","39"
"07X642","South Bronx Literacy Academy",46.3,53.7,0,28.4,67.2,0,3,1.5,46.3,11.9,92.5,89.8,"South Bronx Literacy Academy",67,"11",16.41791016,"s","s","s","6"
"07X670","Health Opportunities High School",62.1,37.9,0.5,33.3,63.1,0,2.1,0.5,28.7,19,95,95,"Health Opportunities High School",225,"61",27.11111009,"22","s","s","37"
"08X014","P.S. X014 Senator John Calandra",54.4,45.6,10,5.1,65.8,1.9,0.3,17,21.9,15.9,70.4,66.3,"P.S. X014 Senator John Calandra",723,"74",10.23513153,"19","11","8","52"
"08X036","P.S. 036 Unionport",48,52,32.8,9,47.9,1.4,2,6.8,17,16.7,86.9,85.2,"P.S. 036 Unionport",755,"88",11.65562943,"34","27","7","53"
"08X048","P.S. 048 Joseph R. Drake",43.5,56.5,1.3,19.9,76.9,0.2,0.6,1.1,29.8,20.6,94.4,94.6,"P.S. 048 Joseph R. Drake",494,"137",27.7327925,"77","s","s","57"
"08X062","P.S. 062 Inocensio Casanova",48.8,51.2,0.2,15.1,82.2,0.2,1.4,0.9,29.8,14.4,95,92.5,"P.S. 062 Inocensio Casanova",478,"98",20.50209194,"49","37","12","48"
"08X069","P.S. 069 Journey Prep School",48.9,51.1,6.1,19.3,69.3,0.9,1.8,2.6,24.6,15.8,89,83.6,"P.S. 069 Journey Prep School",495,"63",12.72727251,"29","s","s","29"
"08X071","P.S. 071 Rose E. Scala",48.5,51.5,13.4,5.7,61.8,1,0.4,17.6,21.5,15.4,77.4,74.3,"P.S. 071 Rose E. Scala",1188,"41",3.4511786,"10","s","s","24"
"08X072","P.S. 072 Dr. William Dorney",46.7,53.3,8.4,17,68.2,0.3,0.3,5.7,22.2,12.8,83,80.2,"P.S. 072 Dr. William Dorney",626,"55",8.7859422,"25","19","6","23"
"08X075","P.S. 75 School of Research and Discovery",50.9,49.1,1,22.6,71.9,1.6,0.8,2,22.4,17.6,93.6,93.4,"P.S. 75 School of Research and Discovery",559,"113",20.21466941,"58","46","12","54"
"08X093","P.S. 093 Albert G. Oliver",48.3,51.7,3.2,35.4,58.3,0,2.1,1.1,14.8,7.4,87.1,86,"P.S. 093 Albert G. Oliver",388,"70",18.0412367,"51","38","13","16"
"08X100","P.S. 100 Isaac Clason",51,49,3,25.3,69.7,1.1,0,0.9,25.5,12.1,94.1,92.6,"P.S. 100 Isaac Clason",462,"77",16.66666716,"40","33","7","37"
"08X101","M.S. X101 Edward R. Byrne",45.2,54.8,10.9,11.3,64.8,0.9,0.7,11.4,23.9,3.2,67.8,62.2,"M.S. X101 Edward R. Byrne",571,"37",6.4798601,"7","s","s","26"
"08X107","P.S. 107",47.8,52.2,0.7,29.2,65.9,0.9,0.5,2.8,32.5,10.4,95,93.8,"P.S. 107",462,"76",16.45021588,"52","s","s","24"
"08X119","The Dr. Emmett W. Bassett School",52.5,47.5,24,8.4,58.2,0.8,5.2,3.4,15.8,28.1,95,91.8,"The Dr. Emmett W. Bassett School",538,"71",13.19702566,"23","14","9","47"
"08X123","J.H.S. 123 James M. Kieran",49.9,50.1,3.5,16.1,78.3,0.2,1.1,0.7,23.6,34,93.5,92.9,"J.H.S. 123 James M. Kieran",551,"134",24.31941926,"56","50","6","75"
"08X130","P.S. 130 Abram Stevens Hewitt",52.3,47.7,1,17.4,78.2,0.7,0.7,2,21.1,21.5,93,94.7,"P.S. 130 Abram Stevens Hewitt",337,"87",25.81602335,"39","s","s","46"
"08X131","J.H.S. 131 Albert Einstein",50.6,49.4,5.6,21.9,67.5,1.2,1.8,2.1,23.7,13.6,90.8,89.9,"J.H.S. 131 Albert Einstein",357,"63",17.64705926,"29","22","7","29"
"08X138","P.S. 138 Samuel Randall",52.8,47.2,7.9,22.6,66.8,0.4,1.1,1.3,13.4,7.9,88.9,86.9,"P.S. 138 Samuel Randall",518,"51",9.84556004,"36","s","s","15"
"08X140","P.S. X140 The Eagle School",45.6,54.4,0.3,30.2,65.8,0.5,0.5,2.7,22.1,12.9,94.3,95,"P.S. X140 The Eagle School",390,"91",23.33333343,"51","s","s","36"
"08X146","P.S. 146 Edward Collins",55.3,44.7,0,31.2,61.4,1.6,1,4.8,21.2,15.8,93.9,93.9,"P.S. 146 Edward Collins",336,"57",16.96428508,"21","s","s","36"
"08X152","P.S. 152 Evergreen",51.4,48.4,0.9,9.6,86.8,0.3,0.9,1.5,20.8,44.1,95,95,"P.S. 152 Evergreen",720,"230",31.94444478,"129","122","7","99"
"08X182","P.S. 182",45.8,54.2,6.7,26,62.8,0.5,0.7,3.3,26,10.7,91.6,88.8,"P.S. 182",463,"76",16.41468704,"25","9","16","41"
"08X269","Bronx Studio School for Writers and Artists",55.8,44.2,1.1,16.9,79.7,0.3,0.3,1.6,24,10.4,94.3,93.8,"Bronx Studio School for Writers and Artists",607,"79",13.01482767,"36","18","18","34"
"08X282","Women's Academy of Excellence",100,0,12.1,26.7,43,1.8,3.6,12.7,21.2,21.2,88.5,89.7,"Women's Academy of Excellence",198,"44",22.22222239,"12","s","s","31"
"08X293","Renaissance High School for Musical Theater and th",68.5,31.5,1.7,24.8,68,1,0.7,3.8,24.3,2.2,84.1,84.2,"Renaissance High School for Musical Theater and th",423,"39",9.21985805,"17","s","s","19"
"08X301","M.S. 301 Paul L. Dunbar",45.6,54.4,0,37.3,56.8,1.2,3,1.8,36.1,11.2,95,95,"M.S. 301 Paul L. Dunbar",186,"59",31.72042966,"30","22","8","25"
"08X302","M.S. 302 Luisa Dessus Cruz",46.1,53.9,0.3,16.3,80.9,0.3,0,2.2,27.9,17.9,94.4,92.5,"M.S. 302 Luisa Dessus Cruz",335,"61",18.20895523,"28","s","s","32"
"08X304","P.S. 304 Early Childhood School",48.8,51.2,8.5,6.5,73.3,1.1,1.1,9.3,24.9,9.8,67.3,66.2,"P.S. 304 Early Childhood School",575,"57",9.91304368,"34","s","s","19"
"08X312","Millennium Art Academy",62.7,37.3,3.7,27.5,64.5,0.3,0.6,1.5,28.4,7.3,90.8,91.5,"Millennium Art Academy",353,"38",10.76487228,"21","14","7","17"
"08X320","Pelham Lab High School",43.5,56.5,8.4,26.5,51.6,2.3,2.9,8.1,26.1,13.2,88.7,89,"Pelham Lab High School",335,"40",11.94029823,"22","s","s","16"
"08X333","The Longwood Academy of Discovery",49.8,50.2,0.4,23.7,73.3,1,0.4,1.2,28.3,21.1,95,95,"The Longwood Academy of Discovery",516,"95",18.41085255,"44","29","15","44"
"08X337","The School for Inquiry and Social Justice",50.5,49.5,4.3,13.3,78.7,0,2.4,1,18.4,27.8,89.1,90.2,"The School for Inquiry and Social Justice",438,"93",21.23287618,"26","s","s","66"
"08X348","Schuylerville Preparatory High School",39.1,60.9,9.3,21.6,53.4,0.9,2.9,7.3,22.4,15.5,88.6,88.5,"Schuylerville Preparatory High School",344,"44",12.79069781,"14","s","s","28"
"08X349","Bronx River High School",42.1,57.9,9.1,20.8,64.6,0,0.5,4.5,23.2,11.7,84.7,87.2,"Bronx River High School",431,"38",8.81670564,"12","s","s","25"
"08X367","Archimedes Academy for Math, Science and Technolog",41.2,58.8,6.5,21.4,65.9,0.4,2.7,3.1,31.6,11.8,88.6,90.3,"Archimedes Academy for Math, Science and Technolog",505,"68",13.4653464,"36","19","17","26"
"08X371","Urban Institute of Mathematics",44.4,55.6,6.1,14.9,72.1,0.3,0.8,5.9,26.1,9.3,78.5,72.9,"Urban Institute of Mathematics",378,"48",12.69841343,"15","9","6","32"
"08X375","The Bronx Mathematics Preparatory School",44.8,55.2,2.4,29.7,61.2,0,2.4,4.2,29.7,16.4,94.5,91,"The Bronx Mathematics Preparatory School",179,"45",25.1396656,"17","s","s","26"
"08X376","Antonia Pantoja Preparatory Academy: A College Boa",54.1,45.9,6.2,18.8,70.6,0.5,1,2.3,29.1,13.4,90.2,91.7,"Antonia Pantoja Preparatory Academy: A College Boa",394,"27",6.8527922,"9","s","s","18"
"08X377","Bronx Community High School",43,57,6.3,29.1,57.6,0.6,2.5,3.8,20.3,24.1,95,90.6,"Bronx Community High School",223,"35",15.69506675,"14","7","7","20"
"08X392","Bronx Delta School",45.9,54.1,4.9,13.3,70.7,0.5,0.5,10.1,27.2,7.3,77.5,74.9,"Bronx Delta School",447,"45",10.06711423,"19","s","s","21"
"08X405","Herbert H. Lehman High School",42.1,57.8,7.2,26.8,56.3,0.7,1.5,7.4,21.6,10.9,79.7,82.1,"Herbert H. Lehman High School",1057,"57",5.39262071,"13","s","s","42"
"08X424","Bronx Academy for Multi-Media",43.4,56.6,0,23.7,74.1,0.4,0.9,0.9,33.8,26.8,95,95,"Bronx Academy for Multi-Media",236,"75",31.77966177,"38","31","7","34"
"08X432","Bronx Bridges High School",40,60,6.5,8.6,79.5,0,0.5,3.4,14.8,68.3,95,95,"Bronx Bridges High School",388,"82",21.13402039,"28","s","s","46"
"08X448","Soundview Academy for Culture and Scholarship",52.5,47.5,1.7,28.6,67.7,0.7,0.7,0.7,30.6,10.1,90.6,88.6,"Soundview Academy for Culture and Scholarship",309,"52",16.82847887,"28","22","6","21"
"08X452","Gotham Collaborative High School",43.2,56.8,3.9,27.6,62.3,0,2.3,3.9,23.1,25,89.3,94.4,"Gotham Collaborative High School",331,"69",20.84592134,"21","9","12","46"
"08X467","Mott Hall Community School",47.2,52.8,8.1,16.2,70.6,0,1.3,3.8,26,21.3,82.1,81.2,"Mott Hall Community School",279,"57",20.43010741,"21","14","7","34"
"08X530","Longwood Preparatory Academy",53.2,46.8,0.9,30.2,66.7,0.3,0.6,1.4,31,13.2,95,94,"Longwood Preparatory Academy",340,"29",8.529412,"17","s","s","12"
"08X537","Bronx Arena High School",58.8,41.2,2.1,34.5,61.3,0.5,1,0.5,20.1,3.6,91.2,92.3,"Bronx Arena High School",200,"25",12.5,"18","9","9","6"
"08X558","Westchester Square Academy",42.9,56.8,11.7,25.4,55.1,0.5,0.7,5.9,25.4,10.5,91.5,85.6,"Westchester Square Academy",426,"34",7.98122063,"8","s","s","25"
"08X561","Bronx Compass High School",39,61,7.8,26,61.3,0,2.5,2.3,27.5,10.8,92.3,90.9,"Bronx Compass High School",405,"55",13.58024627,"20","s","s","31"
"08X562","Pugsley Preparatory Academy",49.1,50.9,24.8,11.8,54.5,0.5,2.2,6.2,21.6,26.2,91.4,89.8,"Pugsley Preparatory Academy",608,"102",16.77631587,"40","31","9","62"
"08X583","P.S. 583",51.4,48.6,44.6,6,41.5,0.9,2.4,4.7,16.2,15.3,84.3,86.5,"P.S. 583",467,"56",11.99143454,"18","s","s","38"
"08X636","Virtual Innovators Academy",55.9,44.1,8.1,30.1,41.4,4.3,0,15.6,31.2,3.8,78.5,79.2,"Virtual Innovators Academy",198,"14",7.07070678,"s","s","s","10"
"09X004","P.S./M.S. 004 Crotona Park West",44.1,55.9,0,44.4,53,1.4,0,1.1,29.7,14.7,95,95,"P.S./M.S. 004 Crotona Park West",278,"67",24.10071939,"60","s","s","6"
"09X011","P.S. 011 Highbridge",47,53,0.7,27.9,69.2,0,0.2,1.7,20.5,25.8,95,95,"P.S. 011 Highbridge",450,"156",34.66666639,"97","83","14","58"
"09X022","J.H.S. 022 Jordan L. Mott",48.9,51.1,1.1,20.6,76.7,0,0,1.5,22.9,34,95,94.9,"J.H.S. 022 Jordan L. Mott",310,"89",28.70967686,"52","39","13","36"
"09X028","P.S. 028 Mount Hope",49.4,50.6,0.7,16,81.3,0.2,1.3,0.5,26.6,36.2,95,95,"P.S. 028 Mount Hope",631,"164",25.99049211,"85","73","12","78"
"09X035","P.S. 035 Franz Siegel",43.8,56.3,0.3,23.7,72.9,1.3,0.5,1.3,25.8,25.5,95,94.3,"P.S. 035 Franz Siegel",412,"93",22.57281542,"42","22","20","51"
"09X042","P.S. 042 Claremont",47.5,52.5,0.3,28.1,70.4,0,0,1.2,33,28.1,95,95,"P.S. 042 Claremont",340,"88",25.88235438,"65","54","11","21"
"09X053","P.S. 053 Basheer Quisim",51.6,48.4,1.7,25,71.4,0.5,0.3,1.2,15.9,35,95,95,"P.S. 053 Basheer Quisim",697,"163",23.385939,"112","90","22","51"
"09X055","P.S. 055 Benjamin Franklin",49.1,50.9,0.4,42.7,54.9,0.2,0.4,1.4,22.1,7,95,95,"P.S. 055 Benjamin Franklin",519,"106",20.42389214,"64","53","11","39"
"09X058","P.S. 058",42.7,57.3,0.3,24.3,72.6,0.3,0.3,2.2,21.2,32.4,95,95,"P.S. 058",349,"133",38.10888231,"99","89","10","34"
"09X063","P.S. 063 Author's Academy",53.7,46.3,0.7,32,62.4,1,0.7,3.2,27.1,21.2,95,95,"P.S. 063 Author's Academy",436,"85",19.49541271,"40","33","7","39"
"09X070","P.S. 070 Max Schoenfeld",50.6,49.4,1,20.4,77.9,0,0.6,0.1,20.2,28,95,95,"P.S. 070 Max Schoenfeld",819,"275",33.57753456,"64","54","10","208"
"09X073","P.S. 073 Bronx",47.8,52.2,0,27,71.1,0,0.3,1.6,25.5,23.6,95,95,"P.S. 073 Bronx",354,"126",35.59322059,"70","63","7","56"
"09X088","P.S. X088 - S. Silverstein Little Sparrow School",54.3,45.7,0,26.1,72.8,1.1,0,0,7.6,22.8,95,91.3,"P.S. X088 - S. Silverstein Little Sparrow School",97,"22",22.68041223,"9","s","s","13"
"09X109","P.S. 109 Sedgwick",50.3,49.7,0.2,21.2,76,0.5,0.2,1.9,21.9,20.3,95,95,"P.S. 109 Sedgwick",457,"131",28.66520882,"31","25","6","100"
"09X110","P.S. 110 Theodore Schoenfeld",47.8,52.2,0,30.9,61.2,0.3,0.3,7.2,26.5,18.2,95,94.3,"P.S. 110 Theodore Schoenfeld",318,"84",26.41509473,"60","52","8","17"
"09X114","P.S. X114 - Luis Llorens Torres Schools",46.2,53.8,4.6,17.4,73.8,1,0.6,2.5,26.8,25.3,95,95,"P.S. X114 - Luis Llorens Torres Schools",543,"162",29.83425558,"76","61","15","85"
"09X117","I.S. 117 Joseph H. Wade",36.8,63.2,0,15,82.6,0,1.2,1.2,27.8,31.7,95,95,"I.S. 117 Joseph H. Wade",372,"111",29.83871102,"46","35","11","63"
"09X126","P.S. 126 Dr Marjorie H Dunbar",49.5,50.5,0.4,23.4,74.1,0.6,0.2,1.2,21.8,30.7,95,95,"P.S. 126 Dr Marjorie H Dunbar",529,"188",35.53875089,"138","131","7","50"
"09X128","Mott Hall III",51.9,48.1,1,37,59.7,0,0,2.3,26,7.8,95,95,"Mott Hall III",292,"33",11.30136997,"20","s","s","12"
"09X132","P.S. 132 Garret A. Morgan",46.6,53.4,0.3,46.1,50.4,1.3,0.5,1.3,27.5,10.8,95,95,"P.S. 132 Garret A. Morgan",391,"99",25.31969249,"68","52","16","28"
"09X163","P.S. 163 Arthur A. Schomburg",51.7,48.3,0.4,36.6,61.9,0,0.8,0.4,19.2,29.8,95,95,"P.S. 163 Arthur A. Schomburg",278,"71",25.53956807,"40","s","s","31"
"09X170","P.S. 170",51.3,48.7,0.6,16.2,77.9,0.6,3.2,1.3,20.8,24.7,92.9,94,"P.S. 170",159,"43",27.04402506,"15","s","s","28"
"09X199","P.S. 199X - The Shakespeare School",46.7,53.3,1.2,25.6,66.3,1.2,5,0.7,23.7,25.8,95,95,"P.S. 199X - The Shakespeare School",448,"162",36.16071343,"84","s","s","77"
"09X204","P.S. 204 Morris Heights",46.8,53.2,1.1,24.6,71,0.4,1.1,1.9,23.7,13.1,91.3,94.3,"P.S. 204 Morris Heights",588,"118",20.06802708,"46","s","s","69"
"09X215","Kappa",50,50,0,46.2,50.5,0.5,1.6,0.5,30.1,5.4,93.5,95,"Kappa",186,"18",9.67741907,"11","s","s","7"
"09X218","P.S./I.S. 218 Rafael Hernandez Dual Language Magne",50.7,49.3,1.2,4.5,92.2,0.1,1,1,18.3,23.5,95,95,"P.S./I.S. 218 Rafael Hernandez Dual Language Magne",845,"121",14.31952715,"17","s","s","103"
"09X219","I.S. 219 New Venture School",49.6,50.4,0.4,35,63.2,0,1.5,0,33.1,21.1,95,95,"I.S. 219 New Venture School",286,"78",27.27272809,"37","29","8","36"
"09X227","Bronx Collegiate Academy",54.3,45.7,2.1,29.2,64.3,0.5,1.4,2.6,20.4,9.3,88.9,91.5,"Bronx Collegiate Academy",443,"66",14.89841938,"27","15","12","34"
"09X229","I.S. 229 Roland Patterson",47.8,52.2,1.1,33.5,63.7,0.5,1.1,0,37.4,14.8,95,95,"I.S. 229 Roland Patterson",188,"46",24.46808517,"22","s","s","22"
"09X231","Eagle Academy for Young Men",0,100,1.6,52.4,43.4,0.2,1.1,0.7,32.2,5.1,85.3,89.6,"Eagle Academy for Young Men",431,"59",13.68909478,"16","7","9","34"
"09X232","I.S. 232",44.4,55.6,1,20.1,78.6,0,0,0.3,25.7,35.5,95,95,"I.S. 232",320,"120",37.5,"31","24","7","85"
"09X236","P.S. 236 Langston Hughes",49.7,50.3,0.3,23.4,75.2,0.3,0.3,0.3,21.7,19,95,95,"P.S. 236 Langston Hughes",300,"71",23.66666645,"37","27","10","33"
"09X241","Urban Assembly School for Applied Math and Science",49.8,50.2,0,27.8,71.1,0.4,0.4,0.4,30.3,11.3,95,94.3,"Urban Assembly School for Applied Math and Science",554,"71",12.81588376,"29","15","14","41"
"09X250","Eximius College Preparatory Academy: A College Boa",47.5,52.2,1.2,31.2,65.3,0,0.3,2,23.3,8.2,89.5,93.4,"Eximius College Preparatory Academy: A College Boa",374,"55",14.70588297,"21","s","s","33"
"09X252","Mott Hall Bronx High School",46.9,53.1,0.9,25.8,70.7,0,1.5,0.9,25.2,12.6,93.8,94.1,"Mott Hall Bronx High School",345,"58",16.81159437,"25","15","10","30"
"09X260","Bronx Center for Science and Mathematics",42,58,6.8,29.9,59.8,0,0.8,2.4,23.6,6.8,91.1,89.2,"Bronx Center for Science and Mathematics",404,"52",12.87128776,"20","s","s","29"
"09X263","Validus Preparatory Academy",44,56,0,39.6,59.7,0,0,0.4,33.7,12.1,95,95,"Validus Preparatory Academy",285,"60",21.05263174,"34","24","10","25"
"09X274","The New American Academy at Roberto Clemente State",48.7,51.3,0.8,32.5,62.1,0.5,1.3,2.7,30.4,12.1,95,95,"The New American Academy at Roberto Clemente State",394,"113",28.68020236,"71","65","6","41"
"09X294","The Walton Avenue School",46.2,53.8,1.1,15.2,79.7,0.3,1.7,2,27,21.1,95,95,"The Walton Avenue School",371,"99",26.68463588,"27","21","6","70"
"09X297","Morris Academy for Collaborative Studies",44.1,55.2,0.5,23.5,74.8,0.2,0.2,0.7,30,8.9,95,95,"Morris Academy for Collaborative Studies",401,"47",11.72069833,"16","9","7","29"
"09X303","I.S. X303 Leadership & Community Service",47.6,52.4,0.6,23.8,75.2,0,0,0.3,28.6,16.7,95,95,"I.S. X303 Leadership & Community Service",326,"91",27.91410983,"29","19","10","61"
"09X311","Lucero Elementary School",46.6,53.4,0.7,7.5,91.2,0.3,0,0.3,23.8,51.4,95,94,"Lucero Elementary School",328,"127",38.71951103,"44","37","7","79"
"09X313","I.S. 313 School of Leadership Development",44.9,55.1,0.6,31,63.9,1.3,1.3,1.9,27.2,34.2,95,95,"I.S. 313 School of Leadership Development",186,"71",38.17204237,"35","28","7","34"
"09X323","Bronx Writing Academy",49.6,50.4,0.4,24.3,73.9,0,0,1.3,26.5,25.7,95,95,"Bronx Writing Academy",243,"70",28.80658507,"32","26","6","37"
"09X324","Bronx Early College Academy for Teaching & Learnin",49.6,50.4,2.4,20.3,75.3,0,1,0.5,27.6,11.1,91.3,93.1,"Bronx Early College Academy for Teaching & Learnin",411,"70",17.03163087,"25","14","11","41"
"09X327","Comprehensive Model School Project M.S. 327",49.7,50.3,0.6,17.2,81.1,0.1,0,1,25.1,11.4,94.8,94.3,"Comprehensive Model School Project M.S. 327",682,"110",16.12903178,"15","s","s","94"
"09X328","New Millennium Bronx Academy of the Arts",52.4,47.6,0,36.1,62.6,0,0.7,0.7,31.3,15,92.5,95,"New Millennium Bronx Academy of the Arts",155,"51",32.90322721,"35","22","13","16"
"09X329","DreamYard Preparatory School",50.7,49.3,1,24.1,71.8,0,1,1.7,28.6,15.6,95,95,"DreamYard Preparatory School",295,"63",21.35593146,"26","18","8","34"
"09X339","I.S. 339",46.9,53.1,0,26,73.4,0,0,0.6,24.9,34.5,94.9,95,"I.S. 339",198,"62",31.31313026,"30","20","10","29"
"09X350","New Directions Secondary School",51,49,0,31.7,66.2,0,0,2.1,22.1,44.1,95,95,"New Directions Secondary School",146,"53",36.30136847,"19","13","6","33"
"09X361","The Highbridge Green School",47.7,52.3,0.3,21.2,77.3,0,0,1.3,25.3,24,95,95,"The Highbridge Green School",401,"79",19.70074773,"40","34","6","38"
"09X365","Academy for Language and Technology",42.3,57.7,0,0,99.7,0.3,0,0,8.4,71.7,95,95,"Academy for Language and Technology",376,"217",57.71276355,"37","31","6","176"
"09X403","Bronx International High School",47.6,52.4,1.3,22.9,72.5,0,1.5,1.3,2,90.2,83.6,95,"Bronx International High School",430,"161",37.44186163,"63","51","12","92"
"09X404","School for Excellence",37.9,62.1,0,32,66,0,1,1,45.6,22.3,93.2,95,"School for Excellence",101,"30",29.70297039,"10","s","s","20"
"09X412","Bronx High School of Business",43.9,56.1,1,32,64.3,0.3,1,1,27.2,19,95,95,"Bronx High School of Business",294,"68",23.1292516,"37","27","10","29"
"09X413","Bronx High School for Medical Science",53.1,46.9,4,19.6,74.4,0.2,0.7,0.7,26.8,15.1,90.1,93,"Bronx High School for Medical Science",399,"62",15.53884745,"20","11","9","41"
"09X443","The Family School",50.5,49.5,3.9,27.2,64.8,0.5,0.7,2.9,28.2,25.7,95,93.9,"The Family School",444,"100",22.52252251,"38","s","s","60"
"09X449","Grant Avenue Elementary School",48.2,51.8,2.2,23,67.8,0.8,1.9,4.3,35.8,29.8,95,94,"Grant Avenue Elementary School",381,"65",17.06036776,"42","30","12","20"
"09X454","Science and Technology Academy: A Mott Hall School",47.7,52.3,3.2,23.1,70.6,0.8,0.8,1.6,26.8,17.5,95,93.1,"Science and Technology Academy: A Mott Hall School",382,"88",23.03664982,"42","30","12","42"
"09X457","Sheridan Academy for Young Leaders",54.3,45.7,3.9,22.3,72.3,1.1,0.5,0,22.3,23.9,95,95,"Sheridan Academy for Young Leaders",453,"79",17.43929386,"35","28","7","43"
"09X505","Bronx School for Law, Government and Justice",51.9,48.1,0.9,20.7,76.5,0,1.1,0.9,23.4,9.3,93.8,92.1,"Bronx School for Law, Government and Justice",713,"93",13.04347813,"37","21","16","53"
"09X517","Frederick Douglass Academy III Secondary School",52.3,47.7,0,39.4,58.9,0.4,0.4,0.8,30.7,15.4,95,95,"Frederick Douglass Academy III Secondary School",263,"46",17.49049425,"27","17","10","18"
"09X525","Bronx Leadership Academy High School",47.8,52.2,0.3,32.4,63.5,0.3,2.4,1.1,33.8,14.6,93.8,95,"Bronx Leadership Academy High School",357,"90",25.21008551,"43","26","17","46"
"09X543","High School for Violin and Dance",74.3,25.7,0,27.4,70.8,0,0.9,0.9,29.2,19.5,95,95,"High School for Violin and Dance",130,"22",16.9230774,"13","s","s","9"
"09X555","Mount Eden Children's Academy",50.8,49.2,0.2,17.7,80.9,0.5,0.5,0.2,18,20.8,94.3,92.1,"Mount Eden Children's Academy",424,"77",18.16037744,"15","8","7","61"
"09X564","Claremont International HS",46.7,53.3,0.5,18.9,77,0.3,1.4,1.1,6.6,85.5,95,95,"Claremont International HS",430,"182",42.32558012,"53","42","11","118"
"09X568","Young Women's Leadership School of the Bronx",100,0,4,24.2,68.1,0.2,0.8,2.2,18.8,9.1,86.7,90.1,"Young Women's Leadership School of the Bronx",516,"41",7.9457365,"13","s","s","28"
"09X582","Garden of Learning and Discovery Pre-K Center",42.9,57.1,0,36.5,59.6,0,2.6,1.3,36.5,0,92.3,94.6,"Garden of Learning and Discovery Pre-K Center",192,"41",21.35416716,"31","23","8","9"
"09X593","South Bronx International Middle School",43,57,0.6,8.9,90.5,0,0,0,16.5,70.9,95,95,"South Bronx International Middle School",166,"72",43.37349534,"29","s","s","43"
"09X594","New Pathways Academy",53.5,46.5,0.6,31.8,64.1,0.6,1.8,0,29.4,32.4,95,95,"New Pathways Academy",189,"104",55.02645373,"21","15","6","81"
"10X003","P.S. 3 Raul Julia Micro Society",49.3,50.7,1,27.8,69.9,0.7,0,0.7,32.7,12.7,95,90.8,"P.S. 3 Raul Julia Micro Society",317,"36",11.35646701,"21","s","s","13"
"10X007","Milton Fein School",54.9,45.1,6.1,9.8,71.4,3.2,0.5,9,13,16.2,82.8,81.7,"Milton Fein School",390,"70",17.94871837,"19","s","s","50"
"10X008","P.S. 008 Isaac Varian",47.9,52.1,8.7,7.9,76.5,0.6,0.6,5.6,21.4,22.4,92.7,91,"P.S. 008 Isaac Varian",685,"116",16.93430692,"45","39","6","71"
"10X009","P.S. 9 Ryer Avenue Elementary School",52.3,47.7,1.2,15.8,80.4,0.8,0.4,1.5,22.9,31,95,95,"P.S. 9 Ryer Avenue Elementary School",560,"157",28.03571522,"59","53","6","96"
"10X015","P.S. X015 Institute for Environmental Learning",49.6,50.4,0.8,9,89.3,0.5,0.5,0,27.1,17.1,85.9,88.6,"P.S. X015 Institute for Environmental Learning",422,"58",13.7440756,"8","s","s","48"
"10X020","PS/MS 20 P.O.George J. Werdann, III",46,54,6.4,11.7,75.5,0.5,2,3.9,26,27.9,95,92.4,"PS/MS 20 P.O.George J. Werdann, III",821,"197",23.99512827,"36","26","10","161"
"10X023","P.S. 023 The New Children's School",46.4,53.6,1,26,70.3,0.5,1,1,29.2,22.7,93.5,95,"P.S. 023 The New Children's School",409,"121",29.58435118,"92","s","s","28"
"10X024","P.S. 024 Spuyten Duyvil",48.3,51.7,7.3,7.2,45.7,5.1,0.5,34.2,18.4,5.3,37.2,37,"P.S. 024 Spuyten Duyvil",767,"30",3.91134284,"s","s","s","25"
"10X032","P.S. 032 Belmont",49.7,50.3,0.8,18.4,76.5,0.2,2.1,2.1,27.2,19.7,95,95,"P.S. 032 Belmont",571,"138",24.16812629,"85","70","15","47"
"10X033","P.S. 033 Timothy Dwight",53.2,46.8,1.5,10.3,85.3,0.2,1.4,1.2,23.4,28.9,91.9,94.1,"P.S. 033 Timothy Dwight",863,"140",16.22247994,"72","55","17","68"
